,chestcircumference,waistcircumference,weightkg,stature,t_shirt_size
236,927,871,677,1630,3
237,906,811,576,1528,2
238,847,728,559,1653,2
239,841,763,468,1512,2
240,855,793,567,1629,2
241,1072,1001,820,1675,4
242,988,922,664,1498,3
243,984,829,626,1538,3
244,938,850,653,1567,3
245,866,731,539,1590,2
246,1063,996,750,1573,4
247,949,871,704,1595,3
248,982,1036,675,1610,4
249,935,835,640,1565,3
250,845,665,470,1523,2
251,836,671,502,1570,2
252,949,769,597,1556,3
253,954,850,646,1599,3
254,940,936,726,1611,3
255,915,758,631,1681,2
256,925,888,631,1585,3
257,1032,941,660,1614,4
258,988,812,789,1674,3
259,838,704,531,1653,2
260,992,1027,708,1593,4
261,969,885,625,1592,3
262,957,872,680,1617,3
263,1093,1041,734,1589,4
264,997,859,688,1597,3
265,1090,1022,840,1698,4
266,923,790,647,1619,3
267,844,711,561,1663,2
268,1011,941,735,1606,3
269,997,1076,733,1609,4
270,943,797,605,1696,3
271,934,904,722,1723,3
272,1031,979,908,1748,4
273,985,888,760,1695,3
274,935,769,606,1648,3
275,872,807,573,1579,2
276,996,839,602,1587,3
277,994,975,669,1604,4
278,1131,1127,829,1603,5
279,966,930,765,1712,3
280,908,907,671,1628,3
281,985,919,589,1520,3
282,896,839,615,1640,3
283,864,697,529,1616,2
284,1095,1088,847,1684,4
285,890,805,596,1649,2
286,965,844,666,1677,3
287,958,915,676,1653,3
288,926,862,658,1638,3
289,878,835,596,1646,2
290,951,1000,735,1619,4
291,858,789,556,1530,2
292,870,777,561,1603,2
293,875,796,560,1680,2
294,1139,1017,871,1602,4
295,1064,1074,736,1447,4
296,923,688,613,1627,3
297,861,713,505,1594,2
298,1057,1035,823,1688,4
299,896,827,561,1547,2
300,991,950,754,1621,3
301,904,805,593,1625,2
302,981,896,695,1597,3
303,1046,905,820,1602,4
304,952,833,583,1614,3
305,1067,1055,920,1743,4
306,1105,1071,841,1603,4
307,1196,1111,842,1576,5
308,999,871,660,1619,3
309,1052,969,896,1754,4
310,1014,942,842,1709,3
311,1048,964,845,1789,4
312,896,887,596,1587,3
313,943,838,688,1687,3
314,899,826,690,1665,2
315,996,950,748,1573,3
316,911,819,699,1654,2
317,1005,920,691,1582,3
318,873,744,566,1575,2
319,976,880,699,1600,3
320,834,740,468,1584,2
321,986,829,701,1535,3
322,1062,1029,832,1593,4
323,1004,973,789,1583,4
324,896,845,592,1608,3
325,861,828,583,1663,2
326,951,1020,746,1609,4
327,772,675,428,1513,1
328,1034,1007,853,1704,4
329,899,858,664,1708,3
330,955,804,577,1506,3
331,867,811,565,1583,2
332,971,864,714,1731,3
333,966,871,762,1669,3
334,800,824,556,1640,2
335,812,724,561,1613,2
336,946,849,641,1640,3
337,1008,918,766,1581,3
338,971,829,702,1664,3
339,918,799,561,1562,2
340,987,1017,812,1722,4
341,969,900,725,1564,3
342,979,917,686,1589,3
343,1017,970,924,1789,3
344,1058,884,662,1608,4
345,887,796,562,1595,2
346,859,785,564,1590,2
347,980,870,653,1575,3
348,1037,905,679,1539,4
349,984,958,777,1654,3
350,959,855,632,1616,3
351,988,869,697,1646,3
352,900,875,681,1548,3
353,827,722,570,1617,2
354,1089,1034,742,1527,4
355,895,757,589,1653,2
356,1024,995,750,1606,4
357,948,812,744,1700,3
358,1131,954,815,1672,4
359,988,928,765,1728,3
360,1098,1049,827,1677,4
361,1033,958,793,1790,4
362,960,912,735,1643,3
363,955,822,620,1584,3
364,1023,935,659,1583,3
365,1000,957,705,1640,3
366,866,707,493,1562,2
367,881,771,643,1650,2
368,950,806,654,1656,3
369,1020,1002,655,1624,4
370,1159,1044,856,1631,5
371,866,815,632,1715,2
372,908,752,648,1607,2
373,883,831,604,1600,2
374,993,880,702,1571,3
375,920,817,659,1603,2
376,1122,938,771,1599,4
377,829,797,524,1602,2
378,925,773,685,1642,3
379,1096,1103,1017,1715,5
380,862,679,487,1634,2
381,1059,1055,824,1657,4
382,1086,856,724,1626,4
383,968,868,617,1536,3
384,908,818,696,1698,2
385,956,846,753,1652,3
386,1043,1032,785,1611,4
387,1003,911,812,1764,3
388,825,650,485,1586,2
389,899,804,595,1592,2
390,958,880,740,1782,3
391,1028,970,799,1708,3
392,957,841,645,1650,3
393,1007,949,725,1612,3
394,842,766,600,1660,2
395,884,811,630,1629,2
396,992,978,762,1630,4
397,913,738,696,1743,2
398,1152,1001,818,1688,5
399,836,705,508,1580,2
400,957,901,665,1610,3
401,757,620,400,1556,1
402,985,1000,736,1585,4
403,1036,952,770,1685,4
404,943,823,630,1592,3
405,960,919,761,1698,3
406,875,886,690,1648,3
407,879,791,573,1575,2
408,935,794,617,1602,3
409,886,822,663,1669,2
410,1018,996,850,1637,4
411,929,798,601,1690,3
412,935,795,655,1664,3
413,932,940,716,1710,3
414,906,716,611,1596,2
415,1150,1164,1000,1656,5
416,991,870,791,1586,3
417,1000,886,676,1653,3
418,1045,831,740,1661,4
419,862,749,501,1495,2
420,900,811,587,1633,2
421,976,850,696,1652,3
422,899,779,599,1596,2
423,1003,1009,809,1715,4
424,995,939,788,1724,3
425,955,907,797,1741,3
426,910,851,746,1707,3
427,945,917,740,1684,3
428,892,780,569,1586,2
429,1066,1046,829,1611,4
430,1040,939,770,1658,4
431,980,909,751,1673,3
432,1100,1076,889,1770,4
433,872,799,661,1574,2
434,1059,1009,842,1715,4
435,852,865,558,1525,3
436,1142,1154,983,1650,5
437,870,814,535,1537,2
438,880,801,581,1568,2
439,892,830,684,1569,2
440,957,807,725,1711,3
441,1070,1073,757,1639,4
442,962,946,733,1638,3
443,930,845,704,1756,3
444,895,748,590,1618,2
445,1050,1003,835,1745,4
446,925,814,635,1569,3
447,895,782,546,1668,2
448,895,780,610,1619,2
449,1101,1016,820,1657,4
450,910,847,685,1628,3
451,903,803,574,1660,2
452,878,733,616,1683,2
453,846,866,678,1672,3
454,836,745,558,1623,2
455,870,705,588,1672,2
456,869,784,591,1619,2
457,794,712,511,1558,2
458,845,742,591,1649,2
459,880,805,671,1730,2
460,843,730,522,1527,2
461,838,761,565,1670,2
462,1077,1000,774,1583,4
463,963,885,730,1643,3
464,1012,800,669,1717,3
465,1000,945,718,1623,3
466,860,810,594,1630,2
467,925,808,680,1710,3
468,1002,961,779,1730,3
469,960,772,695,1725,3
470,957,928,755,1680,3
471,922,889,645,1682,3
472,1157,1050,843,1680,5
473,915,777,688,1829,2
474,885,866,643,1675,3
475,1040,842,689,1727,4
476,1003,842,651,1615,3
477,837,690,460,1497,2
478,871,750,610,1613,2
479,1115,950,925,1771,4
480,924,829,666,1588,3
481,997,995,821,1736,4
482,870,767,591,1664,2
483,1025,898,722,1584,3
484,1006,940,770,1712,3
485,876,787,617,1658,2
486,933,812,685,1646,3
487,966,820,689,1723,3
488,900,813,587,1578,2
489,1040,845,742,1671,4
490,1045,1011,820,1580,4
491,925,758,557,1584,3
492,975,814,648,1670,3
493,910,770,566,1585,2
494,952,809,584,1638,3
495,907,817,599,1589,2
496,1089,938,785,1659,4
497,943,845,654,1550,3
498,1047,995,838,1730,4
499,1027,907,644,1500,3
500,1038,983,809,1615,4
501,906,801,677,1645,2
502,1095,1029,847,1727,4
503,1032,1052,781,1667,4
504,981,848,552,1519,3
505,1113,955,832,1700,4
506,860,807,694,1628,2
507,1068,855,786,1600,4
508,1025,969,851,1747,3
509,925,900,678,1583,3
510,927,800,645,1662,3
511,873,720,618,1697,2
512,948,942,843,1732,3
513,982,1015,793,1647,4
514,1029,1019,727,1589,4
515,965,829,645,1545,3
516,1028,937,755,1659,3
517,891,885,555,1522,3
518,997,816,779,1651,3
519,1016,922,763,1767,3
520,1008,965,785,1608,3
521,997,931,717,1605,3
522,902,895,674,1734,3
523,972,829,730,1661,3
524,960,980,754,1589,4
525,912,800,776,1741,2
526,1079,1012,810,1670,4
527,865,801,667,1680,2
528,957,915,791,1736,3
529,990,937,763,1682,3
530,936,811,650,1714,3
531,856,691,513,1546,2
532,917,813,591,1634,2
533,930,890,658,1568,3
534,876,782,504,1536,2
535,962,927,685,1584,3
536,882,874,629,1646,3
537,891,765,568,1664,2
538,902,800,661,1658,2
539,910,734,683,1738,2
540,923,775,791,1745,3
541,1072,1061,907,1595,4
542,987,926,783,1625,3
543,967,865,709,1623,3
544,841,752,509,1518,2
545,1008,877,623,1525,3
546,919,900,664,1557,3
547,1093,1054,921,1730,4
548,983,903,671,1601,3
549,839,728,547,1597,2
550,1027,947,784,1743,3
551,925,754,590,1683,3
552,1015,921,763,1752,3
553,967,851,709,1618,3
554,1018,851,703,1620,3
555,862,790,581,1649,2
556,846,764,593,1709,2
557,1044,992,753,1587,4
558,917,816,662,1632,2
559,1057,965,683,1527,4
560,1034,975,758,1660,4
561,864,734,613,1632,2
562,942,820,730,1742,3
563,885,848,700,1709,3
564,1048,925,751,1619,4
565,996,927,738,1675,3
566,988,837,642,1634,3
567,892,802,595,1679,2
568,848,846,569,1614,3
569,861,778,596,1684,2
570,937,853,631,1597,3
571,855,730,589,1610,2
572,943,886,746,1688,3
573,997,929,864,1725,3
574,936,900,608,1609,3
575,810,759,504,1585,2
576,887,816,549,1562,2
577,897,770,530,1547,2
578,961,895,692,1611,3
579,1004,880,713,1740,3
580,972,904,705,1555,3
581,971,938,699,1650,3
582,913,906,659,1583,3
583,858,750,632,1647,2
584,946,845,696,1532,3
585,920,811,593,1619,2
586,902,888,695,1704,3
587,970,774,797,1689,3
588,911,846,619,1657,3
589,926,861,677,1647,3
590,892,724,544,1670,2
591,971,928,646,1496,3
592,1117,1026,882,1717,4
593,943,915,634,1531,3
594,981,987,765,1666,4
595,892,915,654,1574,3
596,1000,888,837,1663,3
597,975,863,652,1617,3
598,1005,857,624,1585,3
599,1195,1037,994,1647,5
600,1016,950,748,1643,3
601,901,877,649,1677,3
602,889,665,542,1670,2
603,983,885,814,1651,3
604,883,812,563,1525,2
605,1152,1096,967,1715,5
606,1148,1006,837,1602,5
607,855,685,502,1570,2
608,901,944,657,1662,3
609,983,973,707,1561,4
610,968,975,669,1543,4
611,923,853,597,1562,3
612,897,885,720,1627,3
613,940,816,750,1678,3
614,990,982,673,1608,4
615,906,856,784,1672,3
616,769,710,516,1661,2
617,1010,890,630,1574,3
618,1046,990,793,1670,4
619,895,793,564,1585,2
620,997,962,687,1574,3
621,846,727,590,1617,2
622,904,770,603,1592,2
623,991,930,699,1705,3
624,878,849,573,1620,3
625,957,882,654,1579,3
626,876,749,603,1661,2
627,955,935,771,1595,3
628,1062,903,767,1646,4
629,932,890,667,1522,3
630,928,900,783,1760,3
631,850,752,518,1505,2
632,838,803,663,1708,2
633,938,861,655,1659,3
634,1004,906,690,1613,3
635,905,870,680,1666,3
636,918,860,609,1565,3
637,859,785,646,1578,2
638,880,770,540,1480,2
639,829,756,530,1636,2
640,945,901,789,1608,3
641,825,658,431,1552,2
642,985,873,746,1559,3
643,998,1033,712,1595,4
644,1016,863,727,1674,3
645,845,761,613,1661,2
646,878,792,574,1550,2
647,902,832,655,1597,2
648,884,753,577,1543,2
649,837,760,585,1636,2
650,923,913,627,1563,3
651,905,779,535,1506,2
652,851,803,652,1689,2
653,992,878,702,1600,3
654,1021,1080,931,1827,4
655,824,742,532,1594,2
656,974,817,735,1768,3
657,783,759,557,1658,2
658,945,865,655,1629,3
659,975,855,691,1672,3
660,1013,967,965,1783,3
661,970,992,702,1571,4
662,838,736,523,1525,2
663,923,876,660,1595,3
664,1009,947,814,1708,3
665,1029,1000,952,1818,4
666,832,802,658,1688,2
667,782,695,503,1568,1
668,885,807,547,1555,2
669,988,918,688,1645,3
670,833,750,604,1631,2
671,919,881,669,1563,3
672,926,806,599,1566,3
673,870,875,616,1585,3
674,872,798,548,1518,2
675,838,716,604,1590,2
676,845,829,519,1462,2
677,930,943,640,1599,3
678,845,834,669,1665,2
679,1007,958,791,1712,3
680,908,796,598,1634,2
681,975,865,736,1628,3
682,1080,1052,825,1625,4
683,996,881,756,1718,3
684,773,767,595,1604,2
685,996,978,863,1748,4
686,935,936,686,1650,3
687,965,970,763,1679,3
688,995,904,725,1635,3
689,862,783,639,1673,2
690,856,772,559,1643,2
691,964,960,764,1691,3
692,969,871,699,1672,3
693,839,825,630,1638,2
694,803,734,606,1676,2
695,918,852,680,1655,3
696,914,813,654,1675,2
697,820,765,538,1508,2
698,1006,955,731,1679,3
699,970,882,766,1692,3
700,882,800,577,1631,2
701,909,827,598,1533,2
702,996,887,686,1563,3
703,908,830,708,1655,2
704,786,697,488,1496,1
705,935,857,766,1777,3
706,897,788,583,1546,2
707,906,936,685,1685,3
708,850,768,585,1608,2
709,929,833,719,1632,3
710,892,802,649,1690,2
711,798,742,583,1655,2
712,933,850,648,1574,3
713,841,758,564,1659,2
714,812,706,478,1541,2
715,843,775,591,1675,2
716,936,912,665,1652,3
717,945,886,649,1593,3
718,784,755,512,1565,2
719,804,765,496,1530,2
720,932,897,744,1600,3
721,927,868,680,1615,3
722,783,790,506,1557,2
723,846,785,591,1679,2
724,909,864,712,1662,3
725,1121,967,844,1696,4
726,892,760,547,1657,2
727,814,726,487,1495,2
728,939,842,612,1644,3
729,933,865,722,1652,3
730,894,888,567,1566,3
731,957,819,688,1653,3
732,787,739,542,1604,2
733,853,805,611,1594,2
734,989,880,672,1627,3
735,927,810,749,1729,3
736,883,803,585,1602,2
737,930,787,605,1615,3
738,862,787,601,1645,2
739,877,821,621,1623,2
740,830,723,609,1595,2
741,798,628,470,1480,1
742,955,951,786,1696,3
743,958,857,725,1680,3
744,787,726,516,1590,2
745,802,700,501,1529,1
746,917,860,626,1551,3
747,942,832,787,1709,3
748,947,818,572,1589,3
749,902,813,670,1616,2
750,825,705,535,1643,2
751,844,768,638,1587,2
752,888,779,752,1691,2
753,824,699,519,1558,2
754,843,768,602,1611,2
755,915,898,701,1724,3
756,958,900,782,1623,3
757,880,791,611,1686,2
758,1011,895,631,1587,3
759,803,710,540,1546,2
760,914,827,619,1682,2
761,848,812,577,1519,2
762,867,808,673,1631,2
763,909,789,608,1525,2
764,1110,1092,905,1657,4
765,975,815,682,1653,3
766,1018,937,683,1447,3
767,1068,1040,778,1615,4
768,958,854,648,1732,3
769,1212,1076,1082,1733,5
